,ListA_field1,ListA_field2,ListA_field3,ListB_field4,ListB_field5,ListB_field6,ListC_field7,ListC_field8,ListC_field9,ListD_field10,ListD_field11,ListD_field12,ListE_field13,ListE_field14,ListE_field15
2023-12-18 00:00:00+00:00,0,0.000522466,0.006669843,0.187223169,0,0,0,0,0.102871839,0.007138608,0.026686163,0,0.014356117,0.075206427,0
2023-12-18 01:00:00+00:00,0,0,0.032083697,0.173089701,0,0,0,0.000291886,0.062848981,0.003171247,0.011195753,0,0.01033033,0.047604835,0.00012012
2023-12-18 02:00:00+00:00,9.82E-05,0,0.006150765,0.223738465,0,0,0,0,0.061288305,0.008142812,0.013510638,0,0.008561451,0.042184265,0
2023-12-18 03:00:00+00:00,0,0.000156323,0.012910284,0.163394745,0,,0,0,0.074163159,0.004388715,0.037372948,0,0.008016731,0.054674686,0
2023-12-18 04:00:00+00:00,8.79E-05,0,0.002997524,0.105508214,0,0,0,0,0.097948379,0.00108313,0.024803332,0.00024728,0.00646744,0.017291388,0
2023-12-18 05:00:00+00:00,0.000529451,0.000266525,0.004669723,0.115221707,0,,0.004361479,0,0.065192701,0.013009979,0.018819622,0.000500563,0.007824599,0.035650358,0.000326025
2023-12-18 06:00:00+00:00,0.000157004,0.000159014,0.016886817,0.088354202,0,0,5.22E-05,0,0.030349954,0.002752504,0.017140941,6.50E-05,0.01281047,0.089029998,0.00055297
2023-12-18 07:00:00+00:00,0.000186261,3.69E-05,0.007218923,0.106094472,0,0,0,0,0.035240977,0.001464242,0.028055342,0,0.002712433,0.105590577,0.007150959
2023-12-18 08:00:00+00:00,0.000266574,0.000133113,0.012214057,0.088129448,0,0.032258065,7.16E-05,0.000184621,0.030912926,0.002377217,0.039619523,0,0.011872203,0.056058165,0.312189209
2023-12-18 09:00:00+00:00,0.000925954,6.04E-05,0.013531654,0.125242689,0,0,0,0,0.050065636,0.001562611,0.033060504,5.18E-05,0.007842578,0.06562689,0.199344075
2023-12-18 10:00:00+00:00,0.000313338,0.000350349,0.016548594,0.166904571,0,0,0.00028071,0,0.052120853,0.001326666,0.036164996,7.48E-05,0.005056835,0.098332099,0.04719713
2023-12-18 11:00:00+00:00,0.000489545,0.000339478,0.018805007,0.159276873,0,0,0.000153972,0,0.058190667,0.003120709,0.035130572,6.84E-05,0.004932338,0.072101696,0.044095949
2023-12-18 12:00:00+00:00,0.001281367,0.000362096,0.020028003,0.16846414,0,0.25,0.000550327,0,0.060979299,0.003144324,0.035074016,0.002912692,0.009346208,0.048702045,0.100283487
2023-12-18 13:00:00+00:00,0.000348578,0.000177487,0.018119115,0.131797267,0,1.333333333,0,0.00026178,0.055944958,0.002165618,0.031309743,0,0.007008873,0.051327434,0.101810963
2023-12-18 14:00:00+00:00,8.47E-05,0.00025482,0.011669498,0.101995315,0,0,0,0.000200501,0.040145119,0.006546443,0.027377833,0.00011534,0.006394775,0.046002191,0.104357291
2023-12-18 15:00:00+00:00,0.000114828,7.80E-05,0.010085061,0.113909515,0,0,0,0,0.044782028,0.00311993,0.018375912,0,0.002703198,0.044302203,0.005452213
2023-12-18 16:00:00+00:00,7.01E-05,0.000358783,0.005073666,0.151995511,0,1.333333333,0,0,0.066262914,0.00398109,0.018318318,0,0.004218711,0.035063752,0.000579039
2023-12-18 17:00:00+00:00,6.54E-05,6.64E-05,0.013325257,0.108191149,0,,0,0,0.053748412,0.006495194,0.019308172,0,0.003117985,0.02842342,0.007732602
2023-12-18 18:00:00+00:00,0,5.70E-05,0.012899263,0.071010208,0,0,0,0.000257599,0.021298523,0.003873467,0.006254343,0,0.001447876,0.013576416,0.004971042
2023-12-18 19:00:00+00:00,0.000113675,0.000121743,0.007239315,0.104694782,0,0.428571429,0,0,0.027163052,0.002972652,0.010136073,0,0.001663773,0.007744805,0
2023-12-18 20:00:00+00:00,0,0,0.033858,0.086252604,0,0,0,0,0.026792932,0.004471545,0.009199247,0,0.002173441,0.0392874,0.028472071
2023-12-18 21:00:00+00:00,0,9.65E-05,0.004562653,0.098085671,0,0,0,0,0.035136956,0.007011866,0.020725912,0,0.002092269,0.009031832,0
2023-12-18 22:00:00+00:00,0,0.000354108,0.001971954,0.133703768,0,,0,0,0.032185322,0.004601933,0.01538173,0,0.003636364,0.014184397,0
2023-12-18 23:00:00+00:00,0,0,0.01243226,0.110597896,0,,0,0,0.062481404,0.005037783,0.028462998,0,0.019784173,0.014916468,0
2023-12-19 00:00:00+00:00,0,0,0.007357269,0.128359406,0,0,0,0.000591017,0.097867001,0.00349895,0.014458351,0,0.006076618,0.017158047,0
2023-12-19 01:00:00+00:00,0,8.81E-05,0.041211207,0.116301075,0,0,0,0,0.079148296,0.003652711,0.010050251,0.000156715,0.002758489,0.033163554,0.018738704
2023-12-19 02:00:00+00:00,0.00021164,0,0.018544491,0.175026455,0,0,0,0,0.088759005,0.003250711,0.014505997,0,0.004774146,0.042745931,0.000367242
2023-12-19 03:00:00+00:00,8.94E-05,0,0.004488232,0.115013405,0,,0,0,0.035512286,0.003507014,0.012671233,0,0.002378556,0.009623549,0.000182966
2023-12-19 04:00:00+00:00,0,0.000558503,0.004624277,0.115709381,0,0,0,0,0.076086957,0.032064128,0.051020408,0,0.001902417,0.019009148,0
2023-12-19 05:00:00+00:00,0.000554221,0.00012387,0.010717688,0.115524355,0,0,0.000251509,0.00011609,0.045674101,0.001590603,0.023801845,0,0.01303166,0.073165648,0.000239846
2023-12-19 06:00:00+00:00,0.000233636,3.95E-05,0.015452761,0.168607141,0,0,0.024661893,0,0.057437926,0.002155637,0.017772512,0,0.028627708,0.078467235,0.001138105
2023-12-19 07:00:00+00:00,7.59E-05,0.000225301,0.007634794,0.132024605,0,0,0,0.000152497,0.041084599,0.002086677,0.024301475,0,0.007073348,0.119135639,0.000300081
2023-12-19 08:00:00+00:00,0.000165262,8.32E-05,0.014370147,0.138117667,0,0,0.000183857,0,0.04118423,0.00193094,0.025957447,0,0.003500986,0.078621457,0.007840237
2023-12-19 09:00:00+00:00,0.000191902,0.000806545,0.014155713,0.146075609,0,0,5.61E-05,0,0.053325901,0.005737807,0.03341871,8.77E-05,0.004670448,0.091323181,0.00081018
2023-12-19 10:00:00+00:00,0.001523474,0.000523771,0.015778583,0.170067754,0,0,0.000237699,0,0.072551929,0.002912364,0.031920507,0,0.00453655,0.067329728,0.00061862
2023-12-19 11:00:00+00:00,0.001541454,7.25E-05,0.016237729,0.178294858,0,0.222222222,0.000113353,0,0.068168346,0.002958997,0.031723198,0,0.005305401,0.087738665,0.000634834
2023-12-19 12:00:00+00:00,0.001658,0.000312378,0.016124286,0.190368528,0,0,0.000124085,0,0.070703654,0.002776235,0.04009778,8.35E-05,0.00487013,0.045995526,0.000688705
2023-12-19 13:00:00+00:00,0.000946659,0.000148915,0.015035172,0.156817768,0,0,0.000224505,0.000101595,0.068071461,0.001591187,0.026531468,0,0.005340055,0.038554017,0.000341763
2023-12-19 14:00:00+00:00,0.000351358,3.53E-05,0.015748788,0.134534978,0,0,5.55E-05,0,0.051156392,0.002150207,0.018007203,0,0.003352649,0.06110774,0.000538079
2023-12-19 15:00:00+00:00,0.000133422,0.000138325,0.011490683,0.126484323,0,0.05,7.10E-05,0,0.044199211,0.002284844,0.018851958,0,0.002895287,0.052681143,0.000428931
2023-12-19 16:00:00+00:00,6.57E-05,0.000203197,0.005811272,0.116456362,0,0,0,0,0.06063477,0.00505476,0.016717005,0.000139723,0.002332634,0.037817938,0.000544281
2023-12-19 17:00:00+00:00,0,0.000135336,0.010127017,0.107763462,0,,0,0.000225479,0.053810204,0.012792597,0.013430657,0,0.001726157,0.030529126,0
2023-12-19 18:00:00+00:00,0,0.000176315,0.003858875,0.080175855,0,0,0,0.000533476,0.025870598,0.001832173,0.008480895,0,0.001595359,0.017922969,0
2023-12-19 19:00:00+00:00,0,0.000206633,0.007261905,0.096848655,0,0,0,0,0.032680382,0.003659174,0.00832811,0,0.001606957,0.006453565,0
2023-12-19 20:00:00+00:00,0,0.000378692,0.007491209,0.122246969,0,0,0,0,0.042911034,0.000925497,0.01199173,0,0.002682563,0.010720479,0
2023-12-19 21:00:00+00:00,0,0.000202696,0.005120619,0.091124728,0,0,0.000149925,0,0.031093963,0.004291845,0.016915107,0,0.002335929,0.010446009,0
