,n_missing,pct_missing,n_zero,pct_zero,n_nonzero,max_value,median_nonzero
ListA_field1,0,0.0,223,46.5,257,0.02565445,0.000264038
ListA_field2,0,0.0,125,26.0,355,0.005,0.000225093
ListA_field3,0,0.0,15,3.1,465,0.177802945,0.007861635
ListB_field4,0,0.0,0,0.0,480,0.461643836,0.1219413555
ListB_field5,1,0.2,479,99.8,0,0.0,
ListB_field6,145,30.2,256,53.3,79,2.0,0.153846154
ListC_field7,0,0.0,307,64.0,173,0.059033734,0.000167645
ListC_field8,0,0.0,360,75.0,120,0.001870324,0.0002103365
ListC_field9,0,0.0,0,0.0,480,0.474912389,0.052525356999999995
ListD_field10,0,0.0,30,6.2,450,0.043244949,0.0033990875
ListD_field11,0,0.0,0,0.0,480,0.254054054,0.021368724999999998
ListD_field12,0,0.0,415,86.5,65,0.002912692,0.000121996
ListE_field13,0,0.0,10,2.1,470,0.215859031,0.0041947775
ListE_field14,0,0.0,1,0.2,479,0.236869166,0.027838343
ListE_field15,0,0.0,212,44.2,268,0.312189209,0.0006427774999999999
