series,flag_type,start,end,duration_hours,n_flags,worst_z,worst_observed,expected_median,is_holiday,hour,n_obs,low_conf,baseline_median
ListC_field9,drop_zscore,2024-01-03 00:00:00+00:00,2024-01-03 02:00:00+00:00,3,2,-4.305,0.022494,0.090746,False,0,20,False,0.090746
ListC_field9,drop_zscore,2024-01-08 00:00:00+00:00,2024-01-08 00:00:00+00:00,1,1,-3.573,0.023238,0.090746,False,0,20,False,0.090746
ListA_field3,drop_zscore,2024-01-02 10:00:00+00:00,2024-01-02 10:00:00+00:00,1,1,-3.326,0.001929,0.014986,False,10,20,False,0.014986
ListD_field11,drop_zscore,2024-01-12 12:00:00+00:00,2024-01-12 12:00:00+00:00,1,1,-3.252,0.017321,0.034123,False,12,20,False,0.034123
ListC_field9,drop_zscore,2024-01-02 00:00:00+00:00,2024-01-02 00:00:00+00:00,1,1,-3.181,0.030656,0.090746,False,0,20,False,0.090746
ListA_field3,drop_zscore,2024-01-03 10:00:00+00:00,2024-01-03 10:00:00+00:00,1,1,-3.007,0.003182,0.014986,False,10,20,False,0.014986
ListD_field10,drop_zscore,2024-01-03 00:00:00+00:00,2024-01-03 00:00:00+00:00,1,1,-2.982,0.0,0.00405,False,0,20,False,0.00405
ListC_field9,drop_zscore,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,1,1,-2.953,0.034964,0.090746,False,0,20,False,0.090746
ListA_field3,drop_zscore,2024-01-05 10:00:00+00:00,2024-01-05 10:00:00+00:00,1,1,-2.94,0.003443,0.014986,False,10,20,False,0.014986
ListD_field11,drop_zscore,2023-12-29 12:00:00+00:00,2023-12-29 12:00:00+00:00,1,1,-2.887,0.019207,0.034123,False,12,20,False,0.034123
ListB_field4,drop_zscore,2024-01-03 02:00:00+00:00,2024-01-03 02:00:00+00:00,1,1,-2.882,0.090415,0.147674,False,2,20,False,0.147674
ListA_field3,drop_zscore,2024-01-04 10:00:00+00:00,2024-01-04 10:00:00+00:00,1,1,-2.871,0.003716,0.014986,False,10,20,False,0.014986
