hour_of_day,ListA_field1,ListA_field2,ListA_field3,ListB_field4,ListB_field6,ListC_field7,ListC_field8,ListC_field9,ListD_field10,ListD_field11,ListD_field12,ListE_field13,ListE_field14,ListE_field15
0,20,20,20,20,13,20,20,20,20,20,20,20,20,20
1,20,20,20,20,17,20,20,20,20,20,20,20,20,20
2,20,20,20,20,13,20,20,20,20,20,20,20,20,20
3,20,20,20,20,11,20,20,20,20,20,20,20,20,20
4,20,20,20,20,16,20,20,20,20,20,20,20,20,20
5,20,20,20,20,12,20,20,20,20,20,20,20,20,20
6,20,20,20,20,17,20,20,20,20,20,20,20,20,20
7,20,20,20,20,17,20,20,20,20,20,20,20,20,20
8,20,20,20,20,17,20,20,20,20,20,20,20,20,20
9,20,20,20,20,18,20,20,20,20,20,20,20,20,20
10,20,20,20,20,17,20,20,20,20,20,20,20,20,20
11,20,20,20,20,17,20,20,20,20,20,20,20,20,20
12,20,20,20,20,18,20,20,20,20,20,20,20,20,20
13,20,20,20,20,18,20,20,20,20,20,20,20,20,20
14,20,20,20,20,19,20,20,20,20,20,20,20,20,20
15,20,20,20,20,17,20,20,20,20,20,20,20,20,20
16,20,20,20,20,17,20,20,20,20,20,20,20,20,20
17,20,20,20,20,7,20,20,20,20,20,20,20,20,20
18,20,20,20,20,12,20,20,20,20,20,20,20,20,20
19,20,20,20,20,15,20,20,20,20,20,20,20,20,20
20,20,20,20,20,14,20,20,20,20,20,20,20,20,20
21,20,20,20,20,8,20,20,20,20,20,20,20,20,20
22,20,20,20,20,3,20,20,20,20,20,20,20,20,20
23,20,20,20,20,2,20,20,20,20,20,20,20,20,20
