hour_of_day,ListA_field1,ListA_field2,ListA_field3,ListB_field4,ListB_field6,ListC_field7,ListC_field8,ListC_field9,ListD_field10,ListD_field11,ListD_field12,ListE_field13,ListE_field14,ListE_field15
0,1e-06,0.0002469596472,0.0041816999868,0.033523182760199985,1e-06,1e-06,1e-06,0.0188919593352,0.0013578599664000003,0.009499845490800001,1e-06,0.0041660644872,0.0055509811623000015,1e-06
1,1e-06,1e-06,0.0034534431602999986,0.028289701870499992,1e-06,1e-06,1e-06,0.0189372965019,0.0011555258378999997,0.0023315716011000002,1e-06,0.0027363258489,0.0055024363905,0.00018082382639999996
2,1.3788179999999993e-05,6.204681e-05,0.004137128582999999,0.019869592446900005,1e-06,1e-06,1e-06,0.009787863521099983,0.0024648380673,0.004377594442200001,1e-06,0.0028047619235999997,0.010130545754699996,1e-06
3,1e-06,5.589402e-05,0.005671442412300001,0.0454269218214,1e-06,1e-06,1e-06,0.013208210601599994,0.0010676691858,0.005678089649400001,1e-06,0.0022854953582999997,0.007732898378099999,1e-06
4,0.00012172145999999997,0.00037374641009999996,0.0026787742820999997,0.0314720953575,1e-06,1e-06,1e-06,0.02049528671190001,0.0115491041064,0.0190302696066,1e-06,0.0032105058069,0.007863649613400003,1e-06
5,0.0003599389563,0.0002515052988,0.0036803424882,0.029240833507199995,1e-06,0.0001660089459,1e-06,0.0191830448649,0.0010393055652,0.0107535817179,1e-06,0.0080153181108,0.011627009547300001,0.0002220289869
6,0.0001639992816,0.00013510044239999997,0.0051237721962,0.01989977818289999,1e-06,0.00011438259,3.7509779999999996e-05,0.006392913378599996,0.0008748652100999997,0.003805542869100001,1e-06,0.005452922739599999,0.022842264750900003,0.0015715915824000002
7,0.0002419247376,0.0002214144492,0.0056626817289,0.02353279237259999,1e-06,1e-06,1e-06,0.010927064450400002,0.0008008278725999999,0.007287471964499998,1e-06,0.0029607025328999984,0.032138914722600005,0.00042702883020000003
8,0.00034918639979999994,0.0001534846824,0.006829375251299999,0.02863653167759999,0.030887499505799998,3.63237e-05,1e-06,0.015917920073999996,0.0013488850472999996,0.011858928958799997,1e-06,0.0011615481590999991,0.017339046288899998,0.0013684998452999997
9,0.0005056236800999999,0.00017798316480000003,0.005997076228499999,0.023030929307400003,1e-06,6.441896999999999e-05,1e-06,0.01760043608189999,0.0010107684804,0.007048972032900003,1e-06,0.0008991257351999999,0.0204540496755,0.0009290727725999999
10,0.00043427577900000006,0.00022351381080000003,0.003926052303600001,0.03630881247210001,1e-06,0.00015737576609999997,1e-06,0.022808470366499998,0.0005694770381999998,0.007989150962099999,1e-06,0.0011198826513000005,0.022547913794699996,0.0020123366865
11,0.0005238730035,0.00026567969609999996,0.005978908448100003,0.028588541398200013,1e-06,0.0002896726119,1e-06,0.014002851584399994,0.0014262018959999999,0.013187357091299996,1e-06,0.0011475197978999998,0.016057573581,0.0014818624065
12,0.0006479406780000001,0.00021124603709999997,0.008014080881099998,0.030020813799899963,1e-06,0.00031553656889999997,1e-06,0.0261449890191,0.0005844891044999999,0.005166531862799998,1e-06,0.0012878389922999995,0.014715819098399998,0.0035915762609999994
13,0.00018079713959999995,0.0001582816347,0.012036366526799997,0.028733000011799983,1e-06,8.754752999999999e-05,1e-06,0.007529273646300001,0.0007511200011000001,0.0072674020083,1e-06,0.0015901188933000001,0.013163604356699997,0.0009246449876999999
14,0.0001930975305,0.0001181009508,0.007396509040199999,0.015675620238600012,1e-06,4.114215e-05,1e-06,0.006321958366500003,0.0015785108765999998,0.005169376230899998,1e-06,0.0016597106546999995,0.014966895925799997,0.0008290365614999999
15,6.212094e-05,9.847725719999997e-05,0.005392967136899999,0.022000537874700004,0.14045684194920002,1e-06,1e-06,0.008658167540399997,0.0016524051432,0.006165703446,1e-06,0.0008397357444,0.014466686700899992,0.0009762016614
16,1e-06,0.0002330061573,0.0036219747500999995,0.01689144045329999,1e-06,1e-06,1e-06,0.009569198553599997,0.0016768776801000002,0.0022100198987999985,1e-06,0.0009669465309,0.012481424514299995,0.0002695129584
17,1e-06,9.686418839999999e-05,0.0035790734951999994,0.020182504072499996,1e-06,1e-06,1e-06,0.0085083960297,0.0032268566609999993,0.0018986731574999998,1e-06,0.0005310265484999997,0.006514138908899999,1e-06
18,1e-06,8.688035999999999e-05,0.0021297445217999997,0.013004981724,0.1710692309403,1e-06,1e-06,0.0043085297451,0.0016531123433999994,0.0024336404568,1e-06,0.0005003952911999998,0.0060941072094000005,1e-06
19,1e-06,0.00014966624609999998,0.0036820363586999995,0.022833745731300002,1e-06,1e-06,1e-06,0.008546615233799997,0.0028941382407,0.002736262838400001,1e-06,0.0009476497505999995,0.0059490777948,1e-06
20,1e-06,0.00015689466239999998,0.0026397515088,0.025169460458100004,1e-06,1e-06,1e-06,0.006644925726599997,0.0023943181982999987,0.004858008733200001,1e-06,0.0010860067239,0.003913493199,1e-06
21,1e-06,0.00017220473129999996,0.0019731382251,0.01939576460639998,1e-06,1e-06,1e-06,0.0036207086096999973,0.0016412352347999993,0.006648165948899999,1e-06,0.0007889463162,0.0035088012204,1e-06
22,1e-06,1e-06,0.0015244723305,0.019904083653299997,1e-06,1e-06,1e-06,0.0066778476009,0.0021243463751999996,0.009104523544199999,1e-06,0.0007931539350000001,0.004401353107199999,1e-06
23,1e-06,1e-06,0.0035032310922000014,0.019939993707899985,1e-06,1e-06,1e-06,0.016747245001199996,0.0024658833002999996,0.008245524377999995,1e-06,0.039678734843999995,0.006126866738999999,1e-06
