series,flag_type,start,end,duration_hours,n_flags,worst_z,worst_observed,expected_median,is_holiday
ListA_field1,drop_zscore,2023-12-25 02:00:00+00:00,2023-12-25 02:00:00+00:00,1,1,-6.556,0.0,9e-05,True
ListA_field1,drop_zscore,2024-01-01 02:00:00+00:00,2024-01-01 02:00:00+00:00,1,1,-6.556,0.0,9e-05,True
ListA_field3,contextual_zero_holiday,2024-01-01 01:00:00+00:00,2024-01-01 03:00:00+00:00,3,3,-4.31,0.0,0.014885,True
ListC_field9,drop_zscore,2024-01-03 00:00:00+00:00,2024-01-03 02:00:00+00:00,3,2,-4.305,0.022494,0.090746,False
ListC_field9,drop_zscore,2024-01-01 14:00:00+00:00,2024-01-01 14:00:00+00:00,1,1,-4.254,0.02335,0.05024,True
ListE_field13,drop_zscore,2023-12-25 17:00:00+00:00,2023-12-25 20:00:00+00:00,4,3,-3.791,0.0,0.002864,True
ListE_field13,drop_zscore,2024-01-01 17:00:00+00:00,2024-01-01 17:00:00+00:00,1,1,-3.791,0.0,0.002013,True
ListD_field10,drop_zscore,2024-01-01 13:00:00+00:00,2024-01-01 13:00:00+00:00,1,1,-3.7,0.0,0.002779,True
ListB_field4,drop_zscore,2024-01-01 01:00:00+00:00,2024-01-01 02:00:00+00:00,2,2,-3.663,0.050193,0.147674,True
ListC_field9,drop_zscore,2024-01-08 00:00:00+00:00,2024-01-08 00:00:00+00:00,1,1,-3.573,0.023238,0.090746,False
ListA_field3,drop_zscore,2024-01-01 10:00:00+00:00,2024-01-01 10:00:00+00:00,1,1,-3.369,0.001759,0.014986,True
ListA_field3,drop_zscore,2024-01-02 10:00:00+00:00,2024-01-02 10:00:00+00:00,1,1,-3.326,0.001929,0.014986,False
ListD_field11,drop_zscore,2024-01-12 12:00:00+00:00,2024-01-12 12:00:00+00:00,1,1,-3.252,0.017321,0.034123,False
ListC_field9,drop_zscore,2024-01-02 00:00:00+00:00,2024-01-02 00:00:00+00:00,1,1,-3.181,0.030656,0.090746,False
ListC_field9,drop_zscore,2024-01-01 00:00:00+00:00,2024-01-01 02:00:00+00:00,3,2,-3.069,0.032761,0.090746,True
ListA_field3,drop_zscore,2024-01-03 10:00:00+00:00,2024-01-03 10:00:00+00:00,1,1,-3.007,0.003182,0.014986,False
ListD_field10,drop_zscore,2024-01-01 00:00:00+00:00,2024-01-01 01:00:00+00:00,2,2,-2.982,0.0,0.00405,True
ListD_field10,drop_zscore,2024-01-03 00:00:00+00:00,2024-01-03 00:00:00+00:00,1,1,-2.982,0.0,0.00405,False
ListB_field4,drop_zscore,2024-01-01 16:00:00+00:00,2024-01-01 18:00:00+00:00,3,2,-2.956,0.032967,0.116808,True
ListB_field4,drop_zscore,2023-12-25 17:00:00+00:00,2023-12-25 17:00:00+00:00,1,1,-2.954,0.043702,0.103319,True
ListC_field9,drop_zscore,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,1,1,-2.953,0.034964,0.090746,False
ListA_field3,drop_zscore,2024-01-05 10:00:00+00:00,2024-01-05 10:00:00+00:00,1,1,-2.94,0.003443,0.014986,False
ListD_field11,drop_zscore,2023-12-29 12:00:00+00:00,2023-12-29 12:00:00+00:00,1,1,-2.887,0.019207,0.034123,False
ListC_field9,drop_zscore,2023-12-25 17:00:00+00:00,2023-12-25 17:00:00+00:00,1,1,-2.883,0.025,0.04953,True
ListB_field4,drop_zscore,2024-01-03 02:00:00+00:00,2024-01-03 02:00:00+00:00,1,1,-2.882,0.090415,0.147674,False
ListA_field3,drop_zscore,2024-01-04 10:00:00+00:00,2024-01-04 10:00:00+00:00,1,1,-2.871,0.003716,0.014986,False
ListD_field10,contextual_zero_holiday,2023-12-25 17:00:00+00:00,2023-12-25 21:00:00+00:00,5,4,-2.723,0.0,0.005276,True
ListD_field10,drop_zscore,2024-01-01 21:00:00+00:00,2024-01-01 21:00:00+00:00,1,1,-2.723,0.0,0.00447,True
ListA_field3,drop_zscore,2024-01-08 10:00:00+00:00,2024-01-08 10:00:00+00:00,1,1,-2.698,0.004393,0.014986,False
ListE_field13,drop_zscore,2024-01-01 07:00:00+00:00,2024-01-01 07:00:00+00:00,1,1,-2.653,0.001005,0.00886,True
ListD_field11,drop_zscore,2023-12-29 09:00:00+00:00,2023-12-29 09:00:00+00:00,1,1,-2.608,0.014768,0.033155,False
ListD_field10,drop_zscore,2024-01-01 09:00:00+00:00,2024-01-01 09:00:00+00:00,1,1,-2.579,0.0,0.002607,True
ListB_field4,drop_zscore,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+00:00,1,1,-2.565,0.053441,0.126016,False
ListC_field9,drop_zscore,2023-12-26 16:00:00+00:00,2023-12-26 16:00:00+00:00,1,1,-2.538,0.040262,0.06455,False
ListD_field10,contextual_zero_holiday,2024-01-01 17:00:00+00:00,2024-01-01 18:00:00+00:00,2,2,-2.531,0.0,0.005276,True
ListA_field3,contextual_zero_holiday,2023-12-25 19:00:00+00:00,2023-12-25 19:00:00+00:00,1,1,,0.0,0.006567,True
ListE_field13,contextual_zero_holiday,2024-01-01 00:00:00+00:00,2024-01-01 02:00:00+00:00,3,2,,0.0,0.01015,True
ListE_field14,contextual_zero_holiday,2024-01-01 01:00:00+00:00,2024-01-01 01:00:00+00:00,1,1,,0.0,0.011626,True
ListD_field10,contextual_zero_holiday,2024-01-01 04:00:00+00:00,2024-01-01 04:00:00+00:00,1,1,,0.0,0.016,True
ListA_field3,contextual_zero_holiday,2024-01-01 07:00:00+00:00,2024-01-01 07:00:00+00:00,1,1,,0.0,0.012228,True
ListA_field3,contextual_zero_holiday,2024-01-01 13:00:00+00:00,2024-01-01 15:00:00+00:00,3,2,,0.0,0.01586,True
