hour_of_day,ListA_field1,ListA_field2,ListA_field3,ListB_field4,ListB_field6,ListC_field7,ListC_field8,ListC_field9,ListD_field10,ListD_field11,ListD_field12,ListE_field13,ListE_field14,ListE_field15
0,0.0,0.000166572,0.0036794085,0.1511991825,0.0,0.0,0.0,0.09074563050000001,0.004049538,0.01985542,0.0,0.010150222,0.011806698000000001,0.0
1,0.0,0.0,0.014884556,0.1260163675,0.0,0.0,0.0,0.0613841735,0.0031469035,0.01353406,0.0,0.004906314,0.011625504,0.00012196399999999999
2,9.04e-05,4.185e-05,0.005803364,0.147673705,0.0,0.0,0.0,0.06462705299999999,0.0038997515,0.017351596,0.0,0.0066973095,0.021651326999999998,0.0
3,0.0,3.77e-05,0.0084187995,0.133380543,0.0,0.0,0.0,0.0488360395,0.0016661095,0.0149505095,0.0,0.0029286165,0.017416389499999997,0.0
4,8.209999999999999e-05,0.0002540185,0.003967588,0.1113668235,0.0,0.0,0.0,0.06785316050000001,0.0160004815,0.0364661765,0.0,0.004992926,0.018642283000000003,0.0
5,0.00027863949999999997,0.000169638,0.004738823,0.115373031,0.0,0.0001119715,0.0,0.0459293365,0.001421388,0.025903583,0.0,0.0121580595,0.036575608999999995,0.000196156
6,0.00023831200000000002,0.0001460025,0.009264435500000001,0.092429551,0.0,7.715e-05,2.53e-05,0.034584091,0.0021386965,0.019425516,0.0,0.009278808,0.0741298645,0.0011664029999999999
7,0.000225426,0.0002042065,0.012227688,0.11223910749999999,0.0,0.0,0.0,0.045896964,0.0019343445,0.0254026355,0.0,0.008859777,0.060872788000000004,0.000525727
8,0.0002491585,0.00021055599999999998,0.012359911500000001,0.132036075,0.020833333,2.45e-05,0.0,0.055286010999999996,0.0033199435000000003,0.032662539500000004,0.0,0.0043211395,0.055669554499999996,0.001051509
9,0.0006007244999999999,0.0003363815,0.0140994615,0.1382032275,0.0,4.345e-05,0.0,0.061676552999999995,0.002606831,0.0331549245,0.0,0.0047322605,0.0636111305,0.000812278
10,0.0005308380000000001,0.00034673449999999997,0.014986371500000002,0.162638055,0.0,0.00017687600000000002,0.0,0.068344368,0.0027463024999999997,0.03614311,0.0,0.0047407025,0.061368018499999996,0.0017548625
11,0.0006209845,0.000276799,0.018288991999999997,0.17762887700000002,0.0,0.0001953815,0.0,0.068656944,0.0029823275,0.0331544825,0.0,0.0041790945,0.0554993045,0.0010792624999999998
12,0.000688573,0.000323609,0.0211298885,0.175573356,0.0,0.0002340885,0.0,0.07056233049999999,0.0027649445,0.0341234725,0.0,0.0049141655,0.039114256,0.003454346
13,0.000206151,0.0002581775,0.015860113500000002,0.14662948650000002,0.0,5.905e-05,0.0,0.056817303,0.002779329,0.0307106985,0.0,0.005157716,0.0381083255,0.0007140145
14,0.0002039895,0.0001439945,0.012365417,0.12007292550000001,0.0,2.775e-05,0.0,0.050240322000000004,0.0027568755,0.021557883,0.0,0.0037136549999999997,0.0349451645,0.0008317735
15,4.19e-05,0.000139122,0.010692248,0.1106527905,0.105263158,0.0,0.0,0.0541380115,0.0037553675,0.0194046295,0.0,0.0031670435,0.034102187500000006,0.0009132575
16,0.0,0.0001571605,0.0078854575,0.116808018,0.0,0.0,0.0,0.064549668,0.0048988345,0.018450460000000002,0.0,0.0032015165,0.0353804435,0.0004038675
17,0.0,0.000129534,0.0050374495,0.103319016,0.0,0.0,0.0,0.0495300985,0.00527562,0.0127027615,0.0,0.002013321,0.0181865675,0.0
18,0.0,5.86e-05,0.0038341065,0.071414692,0.1153846155,0.0,0.0,0.022012086,0.004183365,0.0082598415,0.0,0.001621505,0.010797456,0.0
19,0.0,0.00010094849999999999,0.006567112,0.105071789,0.0,0.0,0.0,0.0293908835,0.004880938499999999,0.010202511000000001,0.0,0.0022745459999999997,0.0077580535,0.0
20,0.0,0.000105824,0.005167184,0.113074652,0.0,0.0,0.0,0.034064627,0.005077074500000001,0.012598329500000002,0.0,0.002864033,0.0061797945,0.0
21,0.0,0.00011615049999999999,0.005862139,0.10045154149999999,0.0,0.0,0.0,0.0298232595,0.0044695565,0.017315878,0.0,0.0024526384999999998,0.008344207499999999,0.0
22,0.0,0.0,0.002314165,0.1229770945,0.0,0.0,0.0,0.032172505500000004,0.004538103,0.0199590815,0.0,0.0036598025,0.011997542,0.0
23,0.0,0.0,0.0079057635,0.09498293499999999,0.0,0.0,0.0,0.056104695999999996,0.0032588255,0.022983912000000002,0.0,0.045553087,0.011547814,0.0
